Name,FrameWidth,FrameHeight,FrameCount
Walk,40,40,6
Attack,64,72,11
Shoot,32,32,6
Shake,24,32,6
Sleep,24,24,2
Hurt,40,56,2
Idle,32,40,3
Swing,72,72,9
Double,48,56,16
Hop,32,80,10
Charge,32,40,10
Rotate,24,32,9
EventSleep,24,24,2
Wake,32,24,6
Eat,24,32,4
Tumble,24,32,8
Pose,24,32,5
Pull,32,40,7
Pain,24,40,12
Float,24,24,4
DeepBreath,24,32,9
Nod,32,32,3
Sit,24,32,3
LookUp,24,32,2
Sink,24,32,12
Trip,32,24,5
Laying,24,24,1
LeapForth,24,72,6
Head,24,40,1
Cringe,24,56,2
LostBalance,24,32,2
TumbleBack,24,32,10
Faint,32,24,4
HitGround,32,32,8
